SONG,ARTIST
Faded Pictures,Case & Joe
It Ain't My Fault 1 & 2,Silkk The Shocker Featuring Mystikal
I'm Your Angel,R. Kelly & Celine Dion
When You Believe,Whitney Houston & Mariah Carey
Ghetto Cowboy,Mo Thugs Family Featuring Bone Thugs-N-Harmony
Can I Get A...,Jay-Z Featuring Amil (Of Major Coinz) & Ja
You Were Mine,Dixie Chicks
Lately,Divine
I'll Be,Edwin McCain
You Got Me,The Roots Featuring Erykah Badu
Trippin',Total Featuring Missy Elliott
All Night Long,Faith Evans Featuring Puff Daddy
C'est La Vie,B*Witched
Take Me There,BLACKstreet & Mya Featuring Mase & Blinky Blink
Woof,Snoop Dogg Featuring Mystikal And Fiend
I'll Think Of A Reason Later,Lee Ann Womack
Watch For The Hook,"Cool Breeze Featuring OutKast, Goodie Mob & Witchdoctor"
Home Alone,R. Kelly Featuring Keith Murray
"Luv Me, Luv Me",Shaggy Featuring Janet
Pushin' Weight,Ice Cube Featuring Mr. Short Khop
Break Ups 2 Make Ups,Method Man Featuring D'Angelo
